"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kobe Brown","Lac","F","24.9","7","6.7","19.1","0","2","0.5","14","0.571","6","0.167","0.475","0.479","2.9","2.3","0.6","0.1","0","0","5.1","3.4","5.7","9.5","117","100.1"
"","Ryan Rollins","Mil","G","22.4","11","6.6","21.1","21.6","6","0.833","13","0.308","12","0.5","0.52","0.561","2.8","1","0.8","0.6","0.4","0.6","3.8","3.6","4.6","7.9","103.8","98.9"
"","Craig Porter","Cle","G","24.8","16","9.4","12","22.4","5","0.6","20","0.65","11","0.455","0.661","0.663","2.8","0.9","1.4","0.3","0.4","0.6","3.6","4.1","5","6.5","119.5","111.9"
"","Taj Gibson","Cha","F","39.5","11","11.4","13.3","23.5","3","0.667","27","0.481","2","0.5","0.5","0.511","2.8","3.6","0.4","0.4","0.3","0.8","6.5","3.2","6.8","5.6","99.9","103.2"
"","Delon Wright","Mil","G","32.6","18","16","10","13.1","10","0.5","21","0.381","32","0.281","0.406","0.418","2.7","1.8","1.6","0.7","0.3","0.4","4.5","4.3","6.1","5","103.1","114.1"
"","Josh Minott","Min","F","22","9","8","14.2","18.8","5","0.6","9","1","8","0.125","0.618","0.625","2.7","1.6","0.6","0.2","0.3","0.4","4.2","3.2","4.8","6.9","110.3","95.2"
"","TyTy Washington Jr.","Pho","G","23.1","3","8.9","11.6","14.3","0","0","3","0.333","3","0.667","0.667","0.667","2.7","0.3","1.3","0.7","0","0.3","3","4","4.3","4.6","129","118.9"
"","Doug McDermott","Sac","F","32.9","17","8.4","15.2","2.1","5","0.6","8","0.375","39","0.308","0.447","0.457","2.6","0.8","0.2","0.1","0.1","0.1","3.5","2.8","3.6","3.6","97.2","108.6"
"","Trey Jemison","Nor","C","25","13","11.2","12.7","26.2","13","0.462","28","0.5","0","0","0.5","0.504","2.6","2.8","0.6","0.5","0.5","0.8","5.5","3.2","6.1","5.8","97.1","103.8"
"","DeAndre Jordan","Den","C","36.4","8","9.8","14.4","27.9","4","0.25","18","0.556","0","0","0.556","0.531","2.6","3.3","0.5","0.3","0.3","0.9","5.9","3.1","6.4","6.6","97.2","101.9"
"","Steven Adams","Hou","C","31.4","12","11.3","13.3","44.2","18","0.444","20","0.55","0","0","0.55","0.537","2.5","3.2","1.2","0.3","0.2","1.3","5.7","3.7","6.8","7.5","92.8","98"
"","Johnny Davis","Was","G","22.8","15","7.3","13.9","2.9","5","0.6","25","0.52","8","0.375","0.53","0.54","2.5","1.3","0.3","0.3","0.1","0.1","3.8","2.8","4.1","5.4","113.4","115.1"
"","Dillon Jones","Okc","F","23.1","20","8.8","15.9","12.8","8","0.625","22","0.545","32","0.219","0.417","0.435","2.5","2.1","0.8","0.2","0.1","0.4","4.6","3.3","5.4","7.3","100.2","99.2"
"","Drew Peterson","Bos","F","25.1","6","10.3","11","14","4","0.75","1","0","11","0.364","0.5","0.545","2.5","2.2","0.3","0.3","0.3","0.3","4.7","2.8","5","4.6","112.1","105"
"","Jaylon Tyson","Cle","G-F","22","12","8.5","14.7","18.6","6","0.5","16","0.563","10","0.3","0.519","0.524","2.5","2","0.9","0.3","0","0.5","4.5","3.4","5.4","7.8","113.1","96.7"
"","E.J. Liddell","Chi","F","24","6","5.1","14.9","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138.8","94.9"
"","Chris Duarte","Chi","G","27.5","12","4.1","19","5.2","8","0.75","6","0.667","12","0.417","0.639","0.674","2.4","1.2","0.3","0","0","0.1","3.6","2.8","3.9","9.3","139.8","112.3"
"","Hunter Tyson","Den","F","24.5","12","9.2","11.9","17.6","7","0.857","10","0.7","13","0.231","0.5","0.556","2.4","1.7","0.5","0.2","0.3","0.4","4.1","2.9","4.6","5.5","107.3","105.4"
"","Kel'el Ware","Mia","C","20.6","10","6.9","18.9","13.6","2","1","18","0.444","7","0.286","0.44","0.464","2.4","1.6","0.1","0.3","0.5","0.4","4","2.5","4.1","4.2","85.1","103.1"
"","Jeff Green","Hou","F","38.3","7","5.7","15.5","13.3","0","0","5","0.8","8","0.375","0.654","0.654","2.4","0.6","0.1","0.3","0","0.3","3","2.6","3.1","3.7","112.6","105.2"
"","Vlatko Cancar","Den","F","27.7","4","8.6","11","22.2","0","0","5","0.6","2","0.5","0.643","0.643","2.3","2","0","0","0.3","0.5","4.3","2.3","4.3","0","106","107.6"
"","John Konchar","Mem","G","28.7","11","12","7.6","21.4","4","0.75","2","1","16","0.375","0.611","0.633","2.3","2.6","0.8","0.5","0.5","0.5","4.9","3.1","5.7","5.6","122.1","106.3"
"","Anthony Gill","Was","F","32.1","16","6.1","12","4.5","14","0.5","13","0.692","8","0.5","0.714","0.681","2.3","0.9","0.3","0.3","0.1","0.1","3.2","2.6","3.5","5.6","137.1","123"
"","Patrick Baldwin Jr.","Was","F","22","11","5.1","16.8","9.4","4","0.5","8","0.5","11","0.455","0.605","0.602","2.3","1.1","0.1","0.2","0.2","0.2","3.4","2.4","3.5","5","112.1","117.3"
"","Lester Quinones","Phi","G","24.1","4","4.3","32.2","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","83.4","123.2"
"","Nate Williams","Hou","G","25.8","3","3.3","16.4","0","0","0","2","1","2","0.5","0.875","0.875","2.3","1","0","0.3","0","0","3.3","2.3","3.3","0","0","0"
"","Orlando Robinson","Sac","C","24.4","3","7.2","13.5","57.5","4","0.5","1","1","1","1","1.25","0.931","2.3","2","0.3","0.3","0","1","4.3","2.7","4.7","6.2","103.2","94.9"
"","Jordan McLaughlin","Sac","G","28.7","18","8.1","13.9","19.4","14","0.714","14","0.429","19","0.316","0.455","0.511","2.2","0.9","0.9","0.4","0","0.4","3.2","3.2","4.1","6","104.2","109.3"
"","Kai Jones","Lac","C-F","23.9","15","8.5","9.6","24.7","10","0.7","18","0.722","0","0","0.722","0.737","2.2","2","0.3","0.2","0.6","0.4","4.2","2.5","4.5","5.2","128.4","101.6"
"","Christian Koloko","Lal","C","24.5","13","9.4","9","20.5","2","1","17","0.765","2","0","0.684","0.704","2.2","1.9","0.2","0.3","0.3","0.4","4.1","2.4","4.3","4","125.2","108.5"
"","Jae'Sean Tate","Hou","F","29.1","9","4.5","21.3","32.9","7","0.571","11","0.636","1","0","0.583","0.597","2","2","0.4","0.4","0","0.7","4","2.4","4.4","10.4","95.5","78.1"
"","Jeff Dowtin Jr.","Phi","G","27.6","8","10","11.9","4.9","4","0.75","11","0.455","8","0.125","0.342","0.385","2","1","1.1","0.4","0","0.1","3","3.1","4.1","5.2","101","113.3"
"","Tyler Smith","Mil","F","20.1","10","3.5","21.5","18.5","2","0.5","5","1","8","0.375","0.731","0.72","2","0.8","0.1","0","0.3","0.3","2.8","2.1","2.9","6.2","0","0"
"","Alex Reese","Okc","F-G","25.5","1","1.9","22.4","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","Ulrich Chomche","Tor","C","18.9","1","4.5","9.2","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","200","120"
"","Adama Sanogo","Chi","F","22.8","3","4.6","18.3","16.7","0","0","5","0.6","0","0","0.6","0.6","2","0.7","0.3","0","0","0.3","2.7","2.3","3","6.5","115.6","120.4"
"","Jalen Hood-Schifino","Lal","G","21.5","2","7.1","9","41","2","1","1","1","0","0","1","1.064","2","0.5","0.5","0","0.5","0.5","2.5","2.5","3","4.5","150.8","103.3"
"","Justin Edwards","Phi","F","21","2","4.5","16.8","0","1","0","2","1","1","0","0.667","0.581","2","1","0.5","0","0","0","3","2.5","3.5","8.9","123.3","117.9"
"","Precious Achiuwa","Nyk","F","25.2","1","12.3","24.7","33.3","2","0","3","0.333","1","0","0.25","0.205","2","4","1","0","0","2","6","3","7","6.5","58.1","101"
"","Dwight Powell","Dal","F-C","33.4","17","8.8","7.2","32.7","24","0.708","10","0.8","0","0","0.8","0.803","1.9","1.9","0.8","0.4","0.5","0.3","3.9","2.7","4.6","6.5","152.1","96.3"
"","Jericho Sims","Nyk","C","26.1","22","13.2","6.4","30.6","7","0.571","27","0.704","0","0","0.704","0.698","1.9","4","0.6","0.3","0.4","0.5","5.9","2.5","6.5","5","132.9","104.8"
"","Maxi Kleber","Dal","F","32.9","14","17","6.9","27.6","6","0.667","17","0.412","9","0.222","0.385","0.419","1.7","3","0.6","0.1","0.5","0.7","4.7","2.3","5.3","3.4","81.4","103.2"
"","Pat Spencer","Gol","G","28.4","6","5.7","16.9","14.9","2","1","11","0.364","0","0","0.364","0.421","1.7","1.2","1.3","0.3","0","0.3","2.8","3","4.2","9.7","111.4","100.7"
"","Pacome Dadiet","Nyk","F","19.4","11","7","11.4","5.1","2","1","6","0.167","12","0.417","0.472","0.503","1.7","1.2","0.5","0.1","0.2","0.1","2.9","2.2","3.4","5.8","110.2","111.1"
"","Markieff Morris","Dal","F","35.3","3","6","25.8","18.2","0","0","6","0.167","3","0.333","0.278","0.278","1.7","1.7","0.7","0","0.3","0.7","3.3","2.3","4","8.4","59.1","112.7"
"","Armel Traore","Lal","F","21.9","6","8.4","15.8","13.2","7","0.286","8","0.5","5","0","0.308","0.311","1.7","2","0","0.7","0.3","0.3","3.7","1.7","3.7","0","60.9","102.5"
"","Jevon Carter","Chi","G","29.2","11","4.8","21.5","14.8","0","0","7","0.429","16","0.25","0.391","0.391","1.6","0.7","0.5","0.3","0","0.4","2.4","2.2","2.9","6.9","79.9","119.3"
"","MarJon Beauchamp","Mil","F","24.1","11","3.2","30.8","29.9","4","1","8","0.5","8","0.25","0.438","0.507","1.6","0.8","0.1","0.1","0","0.6","2.5","1.7","2.5","6.3","0","0"
"","Jazian Gortman","Dal","G","21.7","5","2.6","19.5","16.7","0","0","2","0.5","3","0.667","0.8","0.8","1.6","0.2","0","0","0.2","0.2","1.8","1.6","1.8","0","0","0"
"","Duop Reath","Por","C","28.4","12","4.9","15.5","4.5","0","0","5","0.4","16","0.313","0.452","0.452","1.6","0.7","0.2","0","0.2","0.1","2.3","1.8","2.4","5","105.1","112.5"
"","Luke Travers","Cle","F","23.3","5","8","10.7","21.2","2","1","4","0.75","3","0","0.429","0.508","1.6","1.2","1","0.2","0.2","0.4","2.8","2.6","3.8","6.2","108.6","108"
"","Alex Len","Sac","C","31.5","16","7.3","10.3","22.9","4","0.5","16","0.688","4","0","0.55","0.551","1.5","2","0.7","0.2","0.7","0.4","3.5","2.2","4.2","7","109.5","102.4"
"","Trevelin Queen","Orl","G","27.8","2","2.5","34.7","25","0","0","2","0","1","1","0.5","0.5","1.5","0","0","0","0","0.5","1.5","1.5","1.5","0","0","0"
"","Adem Bona","Phi","F","21.7","14","6.5","10.5","31","6","0.833","13","0.615","0","0","0.615","0.671","1.5","1.7","0","0","0.4","0.4","3.2","1.5","3.2","0","107.9","100.2"
"","Olivier-Maxence Prosper","Dal","F","22.4","13","5.7","14.9","4.1","5","0.6","18","0.444","5","0","0.348","0.377","1.5","1.4","0.1","0.2","0.1","0.1","2.8","1.5","2.9","4.2","96.5","107.3"
"","Jaylen Martin","Bro","G","20.9","2","1.6","14.4","0","0","0","0","0","1","1","1.5","1.5","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Terrence Shannon Jr.","Min","G-F","24.4","6","4.7","17.2","27.3","0","0","5","0.6","3","0.333","0.563","0.563","1.5","0.2","0.7","0.3","0.2","0.5","1.7","2.2","2.3","5.1","94","113.7"
"","Adam Flagler","Okc","G","25","11","3.6","21.3","0","0","0","1","0","19","0.263","0.375","0.375","1.4","0.5","0","0.2","0","0","1.9","1.4","1.9","0","0","0"
"","AJ Johnson","Mil","G","20","5","2.1","32.9","25","0","0","5","0.4","1","1","0.583","0.583","1.4","0.4","0.2","0","0","0.4","1.8","1.6","2","9.2","0","0"
"","Enrique Freeman","Ind","F","24.4","14","7.6","10.2","18.8","9","0.556","12","0.5","5","0.2","0.441","0.477","1.4","0.8","0.4","0.1","0.1","0.3","2.2","1.9","2.6","4","96.9","108.9"
"","Matt Ryan","Nyk","F","27.6","8","5.2","20.3","15.8","0","0","4","0.25","12","0.25","0.344","0.344","1.4","0.1","0","0","0","0.4","1.5","1.4","1.5","0","59.1","123.8"
"","James Johnson","Ind","F","37.8","3","3.5","29.1","42.9","0","0","3","0.667","1","0","0.5","0.5","1.3","0.7","0.7","0","0.3","1","2","2","2.7","9.8","0","0"
"","Jordan Walsh","Bos","G","20.8","16","8.8","9.4","13.3","1","0","6","0.5","20","0.25","0.404","0.397","1.3","1.1","0.2","0.3","0.4","0.3","2.4","1.5","2.6","3","85.5","107.6"
"","Jack McVeigh","Hou","G-F","28.4","6","3.6","23","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Cory Joseph","Orl","G","33.3","13","3.5","16","11.8","0","0","3","0","12","0.417","0.5","0.5","1.2","0.7","0.7","0.2","0.2","0.2","1.8","1.8","2.5","9.6","0","0"
"","Zeke Nnaji","Den","F-C","23.9","14","5.1","13.6","4.7","4","0.25","12","0.667","8","0","0.4","0.391","1.2","0.5","0.2","0.1","0.1","0.1","1.7","1.4","1.9","3.9","88.4","112.4"
"","Xavier Tillman","Bos","F","25.9","15","9.4","10.1","15.5","2","0.5","12","0.333","15","0.2","0.315","0.323","1.2","2.1","0.4","0.3","0.2","0.3","3.3","1.6","3.7","4.3","80.8","104.3"
"","Brandon Williams","Dal","G","25","5","4.3","24.4","17.7","3","0.667","7","0.286","2","0","0.222","0.291","1.2","0.8","0.4","0","0","0.4","2","1.6","2.4","6.8","67.5","107.2"
"","Ariel Hukporti","Nyk","C","22.7","10","8.2","10.7","43.9","4","0.5","10","0.5","0","0","0.5","0.51","1.2","1.8","0.4","0","0.8","0.8","3","1.6","3.4","4.6","76.1","99"
"","PJ Dozier","Min","G-F","28.1","6","4.7","10.4","24.5","6","0.167","0","0","3","0.667","1","0.621","1.2","0.8","0.8","0.2","0","0.2","2","2","2.8","7.8","127","101"
"","Gui Santos","Gol","F","22.5","6","3.7","14.6","27.7","2","0.5","2","0.5","3","0.333","0.5","0.51","1","1","0.3","0","0","0.3","2","1.3","2.3","7.2","0","0"
"","Mouhamed Gueye","Atl","F","22.1","2","5.7","17.7","20","0","0","2","0.5","2","0","0.25","0.25","1","1","0","0","0","0.5","2","1","2","0","42.1","120.1"
"","Reece Beekman","Gol","G","23.2","2","2.1","10.1","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Liam Robbins","Mil","C","25.4","5","4","10.6","0","4","0.25","2","1","1","0","0.667","0.525","1","0.6","0","0","0","0","1.6","1","1.6","0","122.3","105"
"","Jared Rhoden","Cha","G","25.3","4","2.9","32.6","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","Cam Spencer","Mem","G","24.7","2","10.5","5.8","33.3","0","0","1","1","1","0","0.5","0.5","1","1","1","0","0.5","0.5","2","2","3","3.8","91.2","107.4"
"","Branden Carlson","Okc","C","25.5","4","4.2","19.8","0","2","1","2","0.5","5","0","0.143","0.254","1","2","0.5","0.3","0.3","0","3","1.5","3.5","9.5","92.3","96.7"
"","Keshad Johnson","Mia","F","23.5","2","6.3","7","0","0","0","1","1","1","0","0.5","0.5","1","1","0","0","0","0","2","1","2","0","100.8","116.8"
"","Jaden Springer","Bos","G","22.2","7","3.4","17.6","12.2","4","0.5","5","0.4","2","0","0.286","0.342","0.9","0.9","0.4","0.4","0","0.1","1.7","1.3","2.1","8.1","0","0"
"","Caleb Houstan","Orl","G","21.9","14","4.7","14.4","4.7","2","1","3","0.333","17","0.176","0.275","0.311","0.9","0.5","0","0","0.1","0.1","1.4","0.9","1.4","0","68.7","104.3"
"","Trey Alexander","Den","G","21.6","8","5.2","12.1","8.7","2","1","4","0.25","6","0.167","0.25","0.322","0.9","0.1","0.3","0","0.1","0.1","1","1.1","1.3","2.3","74.6","115.8"
"","Colby Jones","Sac","G","22.5","13","4.1","14.5","22.2","0","0","9","0.333","5","0.4","0.429","0.429","0.9","0.7","0.2","0.2","0.2","0.3","1.6","1.2","1.8","4.9","82.8","107.8"
"","D.J. Carton","Tor","G","24.3","4","8.4","14.2","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","43.1","116.4"
"","JD Davison","Bos","G","22.2","4","4.3","22.5","48.7","2","0.5","2","0.5","2","0","0.25","0.307","0.8","0.5","0.3","0.3","0","1","1.3","1","1.5","4.6","40.7","107.1"
"","Baylor Scheierman","Bos","G","24.2","5","6.8","13.9","0","2","1","4","0.25","6","0","0.1","0.184","0.8","1.4","0.4","0.2","0","0","2.2","1.2","2.6","4.5","68.4","104.8"
"","Karlo Matkovic","Nor","F-C","23.7","5","7.7","9.8","44.4","0","0","5","0.4","0","0","0.4","0.4","0.8","2","0","0.6","0.6","0.8","2.8","0.8","2.8","0","71.5","109.8"
"","Yuki Kawamura","Mem","G","23.6","12","2.9","21.9","23.1","4","0.75","4","0.5","9","0.111","0.269","0.339","0.8","0.2","0.6","0","0","0.3","1","1.4","1.6","6.3","0","0"
"","Bronny James","Lal","G","20.2","6","2.6","19.1","0","2","1","2","0.5","4","0","0.167","0.291","0.7","0.2","0.3","0.2","0","0","0.8","1","1.2","5.3","0","0"
"","Colin Castleton","Mem","C","24.5","6","2.3","8","0","4","1","0","0","1","0","0","0.725","0.7","0.8","0","0","0.2","0","1.5","0.7","1.5","0","0","0"
"","Maxwell Lewis","Lal","F","22.4","6","4.5","11.5","14.3","0","0","6","0.333","0","0","0.333","0.333","0.7","0.3","0.3","0.2","0","0.2","1","1","1.3","3.5","87.3","120.3"
"","Chris Livingston","Mil","F","21.1","3","2","22","33.3","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0.3","0.3","0","0.3","1.3","1","1.7","10.6","0","0"
"","Garrett Temple","Tor","G-F","38.6","8","3.9","9.3","14.3","0","0","4","0.25","2","0.5","0.417","0.417","0.6","0.5","0.6","0.5","0.1","0.1","1.1","1.3","1.8","5.8","0","0"
"","Cui Yongxi","Bro","F","21.5","5","2.1","34.2","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Sidy Cissoko","San","G","20.7","9","2.8","13.3","14.3","2","0","4","0.25","2","0.5","0.417","0.363","0.6","0.7","0.6","0","0","0.1","1.2","1.1","1.8","9","0","0"
"","Tristen Newton","Ind","G","23.6","5","1.6","39.7","13.4","1","1","3","0.333","3","0","0.167","0.233","0.6","0","0.2","0","0","0.2","0.6","0.8","0.8","0","0","0"
"","Dominick Barlow","Atl","F","21.5","2","5.4","7.1","0","2","0.5","1","0","0","0","0","0.266","0.5","0","0","0","0","0","0.5","0.5","0.5","0","63.1","115.4"
"","Stanley Umude","Mil","G","25.7","6","2.9","9.8","0","2","0","0","0","3","0.333","0.5","0.387","0.5","0.5","0.2","0","0.2","0","1","0.7","1.2","5.1","0","0"
"","Jalen Bridges","Pho","F","23.6","2","5.5","19.6","47.4","2","0.5","0","0","2","0","0","0.174","0.5","0.5","0","0","0","1","1","0.5","1","0","21.8","122"
"","PJ Hall","Den","C","22.8","4","2","15.9","0","0","0","1","1","2","0","0.333","0.333","0.5","0","0","0","0","0","0.5","0.5","0.5","0","0","0"
"","Daishen Nix","Min","G","22.8","2","5.5","19.5","71.1","2","0.5","0","0","1","0","0","0.266","0.5","2","1.5","0","0","1.5","2.5","2","4","8.3","53","98.4"
"","Jacob Toppin","Nyk","F","24.6","7","3","8.4","25","0","0","1","1","2","0","0.333","0.333","0.3","0.4","0.3","0","0","0.1","0.7","0.6","1","4.4","0","0"
"","Malevy Leons","Okc","F","25.2","6","3.5","9.6","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Joe Ingles","Min","F-G","37.2","7","3.7","5","33.3","0","0","0","0","2","0","0","0","0","0.3","1.3","0","0","0.1","0.3","1.3","1.6","0","0","0"
"","Jalen Pickett","Den","G","25.1","2","1.9","11.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Kessler Edwards","Dal","F","24.3","4","2.2","14.6","33.3","0","0","0","0","2","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0"
"","Mac McClung","Orl","G","25.9","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","111.4"
"","Daniss Jenkins","Det","G","23.3","2","2.5","17.1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Alex Ducas","Okc","G","24","4","1.8","17.5","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Spencer Jones","Den","F","23.5","2","1.9","11.1","0","0","0","0","0","1","0","0","0","0","0.5","0","1","0","0","0.5","0","0.5","0","0","0"
"","Riley Minix","San","F","24.2","1","6.8","6.3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","114.1"
"","Harrison Ingram","San","F","22","1","6.8","6.3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","102.7"
"","Mason Jones","Sac","G","26.4","3","4.2","6.9","0","0","0","0","0","2","0","0","0","0","1.3","2.3","0","0","0","1.3","2.3","3.7","0","132.3","108.1"
"","Cole Swider","Det","F","25.6","2","6.6","16.3","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","15.1","110.6"
"","Justin Minaya","Por","F","25.7","1","6.1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","103.6"
