"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jerami Grant","Por","F","30.7","20","32.7","20.8","9.9","82","0.817","141","0.411","123","0.358","0.47","0.525","15.8","3.5","2.5","1","1.1","1.5","19.3","18.2","21.7","6.3","109.5","115.2"
"","Kyle Kuzma","Was","F","29.4","12","27.5","28.3","13.8","32","0.688","123","0.488","58","0.276","0.464","0.487","15.8","5.6","1.9","0.4","0.3","2.4","21.4","17.8","23.3","8","90","118.1"
"","Malik Beasley","Det","G","28","24","28.5","21.9","7.7","32","0.719","97","0.505","213","0.399","0.569","0.58","15.7","3","1.9","0.8","0","1.1","18.7","17.5","20.6","6.3","114.4","114.3"
"","Bam Adebayo","Mia","C-F","27.4","20","34.7","21.8","11.8","79","0.722","220","0.455","55","0.327","0.462","0.502","15.6","9.9","5","1.7","0.8","1.9","25.4","20.6","30.4","10.6","111","106"
"","Myles Turner","Ind","C-F","28.7","21","32.4","21.1","18.1","65","0.723","141","0.532","108","0.398","0.56","0.587","15.5","7.4","1.6","0.8","2.1","2.6","22.9","17.1","24.5","7","102.3","110.3"
"","Christian Braun","Den","G","23.6","20","35.2","15.6","12.8","74","0.784","144","0.625","54","0.426","0.629","0.666","15.4","5.1","1.9","1.3","0.7","1.5","20.4","17.2","22.3","6","124.6","112.2"
"","Keyonte George","Uta","G","21.1","20","31.8","24.3","19.6","58","0.793","117","0.453","158","0.329","0.476","0.512","15.4","3.1","5.7","0.7","0.1","3.4","18.5","21.1","24.2","8.2","101.5","119.6"
"","Immanuel Quickley","Tor","G","25.5","3","22.5","30.6","8.6","9","0.889","26","0.385","16","0.375","0.452","0.5","15.3","2","4","0.7","0","1.3","17.3","19.3","21.3","8.8","109","111.4"
"","Jalen Suggs","Orl","G","23.5","23","29.9","24.3","17.7","67","0.925","137","0.518","156","0.314","0.493","0.544","15.3","4","4","1.4","1","2.7","19.3","19.3","23.3","8.4","103.1","101.2"
"","Jeremy Sochan","San","F","21.5","9","29.2","23.3","13.4","35","0.657","95","0.558","15","0.2","0.523","0.55","15.3","8.9","2.8","1","0.4","1.9","24.2","18.1","27","9.9","111.9","105.9"
"","Aaron Gordon","Den","F","29.2","10","30.3","17.6","12.7","37","0.784","66","0.561","30","0.533","0.635","0.672","15.1","6.4","3.3","0.6","0.2","1.4","21.5","18.4","24.8","9","132.3","113.3"
"","Jordan Clarkson","Uta","G","32.5","13","26","27.4","13","46","0.804","94","0.489","80","0.275","0.454","0.502","15","3.8","3.8","0.8","0.1","2","18.8","18.8","22.7","9.2","105.4","117.9"
